seed,subset,group,direction,stage,epoch,delta,ci_lo,ci_hi,median_cs,median_noswitch,mean_delta,n
s42,balanced,seen_embedded,zho-eng,stage3,5,0.28125,0.2077205882352941,0.3492647058823529,0.8860294117647058,0.6047794117647058,0.2231191389599316,207
s42,balanced,seen_embedded,zho-eng,stage3,10,0.2794117647058822,0.2205422794117646,0.3529411764705882,0.8823529411764706,0.6029411764705883,0.2302678317703892,207
s42,balanced,never_embedded,pooled,stage1,0,0.0,0.0,0.0,0.6155660377358491,0.6155660377358491,0.0,617
s42,balanced,never_embedded,pooled,stage1,1,0.0868784111582776,0.0350510207730242,0.1203236960506581,0.7095588235294117,0.622680412371134,0.0549783547424903,617
s42,balanced,never_embedded,pooled,stage1,5,0.1292660932297447,0.0885118965038846,0.1713917766850178,0.8443396226415094,0.7150735294117647,0.0904394857412275,617
s42,balanced,never_embedded,pooled,stage1,10,0.1469859190134979,0.1016231964483906,0.1727941176470587,0.8566176470588236,0.7096317280453257,0.0975050719191062,617
s42,balanced,never_embedded,pooled,stage2,1,0.1294523829361772,0.1035683808511734,0.163480607497021,0.8739376770538243,0.7444852941176471,0.1048766336252587,617
s42,balanced,never_embedded,pooled,stage2,5,0.1485849056603773,0.1202830188679245,0.1855524079320114,0.9009433962264152,0.7523584905660378,0.116931519447888,617
s42,balanced,never_embedded,pooled,stage2,10,0.1422109679833235,0.1129414628811864,0.185667492917847,0.8985849056603774,0.7563739376770539,0.1112101109542443,617
s42,balanced,never_embedded,pooled,stage3,1,0.1360294117647059,0.09977091604975,0.167554950398755,0.9007352941176472,0.7647058823529411,0.1112035922540271,617
s42,balanced,never_embedded,pooled,stage3,5,0.1233163183494575,0.0941315205327414,0.15463146079427,0.9080188679245284,0.7847025495750708,0.107113872822954,617
s42,balanced,never_embedded,pooled,stage3,10,0.1252655807365439,0.0966981132075471,0.1544117647058823,0.906515580736544,0.78125,0.1030952354504479,617
s42,balanced,never_embedded,eng-nld,stage1,0,0.0,0.0,0.0,0.6487252124645893,0.6487252124645893,0.0,151
s42,balanced,never_embedded,eng-nld,stage1,1,0.1161473087818697,0.0240793201133143,0.1813031161473088,0.7322946175637394,0.6161473087818696,0.0653434140667504,151
s42,balanced,never_embedded,eng-nld,stage1,5,0.0070821529745042,-0.0226628895184135,0.0892351274787535,0.896600566572238,0.8895184135977338,0.0256645967393954,151
s42,balanced,never_embedded,eng-nld,stage1,10,0.0439093484419264,-0.0141643059490084,0.0892705382436258,0.9150141643059492,0.8711048158640227,0.03761514361293,151
s42,balanced,never_embedded,eng-nld,stage2,1,0.0354107648725211,0.0,0.0920679886685552,0.9249291784702548,0.8895184135977338,0.0277470311239518,151
s42,balanced,never_embedded,eng-nld,stage2,5,0.0424929178470254,0.0056657223796033,0.0807365439093483,0.9475920679886686,0.9050991501416432,0.0435059940341069,151
s42,balanced,never_embedded,eng-nld,stage2,10,0.0453257790368272,0.0042492917847025,0.0651558073654391,0.9475920679886686,0.9022662889518414,0.0434872333639757,151
s42,balanced,never_embedded,eng-nld,stage3,1,0.0410764872521246,-0.0014164305949008,0.0793201133144475,0.9291784702549576,0.8881019830028328,0.0380653996960771,151
s42,balanced,never_embedded,eng-nld,stage3,5,0.0269121813031161,0.0,0.0594900849858357,0.9475920679886686,0.9206798866855525,0.0369772808284712,151
s42,balanced,never_embedded,eng-nld,stage3,10,0.0297450424929178,-0.0014164305949008,0.0651558073654391,0.953257790368272,0.923512747875354,0.0314428831397858,151
s42,balanced,never_embedded,eng-zho,stage1,0,0.0,0.0,0.0,0.5200471698113207,0.5200471698113207,0.0,150
s42,balanced,never_embedded,eng-zho,stage1,1,0.0306603773584905,-0.0518867924528302,0.1367924528301887,0.6733490566037736,0.6426886792452831,0.0390251572327045,150
s42,balanced,never_embedded,eng-zho,stage1,5,0.2193396226415094,0.1167158018867924,0.3125,0.7783018867924528,0.5589622641509434,0.105377358490566,150
s42,balanced,never_embedded,eng-zho,stage1,10,0.1839622641509434,0.0919516509433961,0.2759728773584904,0.7712264150943396,0.5872641509433962,0.0990566037735849,150
s42,balanced,never_embedded,eng-zho,stage2,1,0.1981132075471698,0.0978478773584905,0.2842865566037731,0.7983490566037736,0.6002358490566038,0.1162735849056603,150
s42,balanced,never_embedded,eng-zho,stage2,5,0.2299528301886793,0.1273290094339622,0.293632075471698,0.7865566037735849,0.5566037735849056,0.1352987421383648,150
s42,balanced,never_embedded,eng-zho,stage2,10,0.1709905660377358,0.0908018867924527,0.244133254716981,0.7806603773584906,0.6096698113207547,0.1158018867924527,150
